Functions,X,Y,index,,,
hands,3.247272,5.619646,0.33567,,,
happy,1.880708,-1.144608,0.65244,,,
happy_faces,1.320226,0.064329,0.31796,,,
head,0.776206,3.331626,-0.00014,,,
heard,5.312255,9.807226,0.55103,,,
hearing,5.493628,9.756249,0.6047,,,
identification,0.655936,2.846148,-0.00014,,,
illusion,2.525846,6.025471,0.17636,,,
imagery,3.185539,3.243152,0.47142,,,
imagine,1.657003,2.926705,-0.00042,,,
imagined,1.804155,3.423027,-0.0006,,,
imitation,1.930643,3.710978,0.00696,,,
implicit,-0.063686,4.420375,-0.00021,,,
impulsivity,-1.010774,1.424802,0.13312,,,
incongruent,0.505351,5.100149,0.10995,,,
index_finger,3.494369,2.831164,0.53268,,,
induction,1.040723,1.195767,0.0706,,,
inference,-0.335714,3.413245,0.00625,,,
inferences,-0.17423,3.416394,0.00911,,,
inhibit,1.101675,2.675448,0.00776,,,
inhibition,1.252267,2.52604,0.10696,,,
inhibitory,1.181753,2.544533,0.0576,,,
inhibitory_control,1.088485,2.611152,0.01784,,,
integrate,1.099886,2.926639,-0.0003,,,
integrated,0.749825,3.305736,-0.00022,,,
integrating,0.982148,3.154119,-0.0002,,,
integration,5.094164,9.548185,0.45704,,,
integrative,-0.054558,3.642766,0.00707,,,
intelligence,0.564795,2.963035,-0.00014,,,
intention,-0.349134,2.903626,0.00767,,,
intentional,0.731647,3.706081,0.00398,,,
intentions,-0.731884,2.866874,0.25592,,,
interference,1.625043,5.093137,0.18277,,,
judgment,0.371161,5.646033,0.34152,,,
judgment_task,0.072114,5.183715,0.1069,,,
judgments,-0.214649,3.509586,0.02492,,,
language,-0.610622,7.059122,0.6587,,,
language_comprehension,-0.543269,6.487115,0.34029,,,
language_network,-0.457913,6.39946,0.33388,,,
languages,0.082522,6.317123,0.4073,,,
learn,0.216851,3.237816,0.00332,,,
learned,-0.711988,4.083521,0.08663,,,
learning,-1.188071,1.180418,0.29279,,,
learning_task,-0.067529,1.824729,-0.00028,,,
letter,0.639621,5.527669,0.19949,,,
letters,1.241385,5.89998,0.16521,,,
lexical,-0.327617,6.901285,0.61569,,,
lexical_decision,0.300042,5.916901,0.21759,,,
limb,2.868231,2.783337,0.43989,,,
linguistic,-0.671464,6.85669,0.48338,,,
listened,5.739578,9.920208,0.74889,,,
listening,5.944383,10.042501,0.84232,,,
long_term,-0.400558,3.956782,0.03468,,,
maintenance,1.777164,5.074725,0.25285,,,
match,0.906395,3.536949,-0.00026,,,
matching,0.858202,5.923614,0.19281,,,
matching_task,0.997666,5.912974,0.11377,,,
memories,-1.73282,4.421392,0.49858,,,
memory,-1.9681,4.618859,0.49417,,,
memory_encoding,-1.3702,4.457047,0.22509,,,
memory_load,1.880743,4.697495,0.25586,,,
memory_performance,-0.741168,4.16255,0.09221,,,
memory_processes,-1.087149,4.349949,0.11205,,,
